Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,total transactions (including tnx to create contract),total Ether sent,total ether received,No. of txns from blacklisted addresses,No. of txns to blacklisted addresses,Total ether sent to blacklisted addresses,Total ether received from blacklisted addresses,Ratio of total sent to blacklisted addresses,Ratio of total received from blacklisted addresses,Confirmations,avg_gas_price_gwei,gas_price_std_dev,high_gas_price_ratio,low_gas_price_ratio,gas_price_coefficient_variation,total_failed_txns,failed_txn_ratio,max_consecutive_failures,failed_contract_interaction_ratio,total_erc721_transfers,erc721_incoming_ratio,erc721_outgoing_ratio,unique_erc721_tokens,external_txn_ratio,erc20_txn_ratio,erc721_txn_ratio,erc1155_txn_ratio,internal_txn_ratio,unique_wallets_interacted_with,unique_contracts_interacted_with,num_blacklisted_contracts_interacted,ratio_blacklisted_contract_txns
0x0013e58a315d2e728f11630aa40abfbdddcab304,0,32.45,12921.57,129540.15,10,10,0,20,10.04055439,10.04819041,0,0,0.0,0.0,0.0,0.0,0,20.315407547095237,4.738633860831158,0.0,0.047619048,0.2332532020263951,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,0,3716.41,1448.09,385961.98,8,246,0,254,831.799,831.8030477000002,0,0,0.0,0.0,0.0,0.0,0,20.20140885889272,6.8027080463232785,0.053639847,0.1187739463601532,0.3367442386736659,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
0x001b28141562bc2601694d27c3f5fda2c06c234c,0,0.0,12431.27,198900.25,0,16,1,17,0.0,12.30665958,0,0,0.0,0.0,0.0,0.0,0,25.345682608411764,10.424138453788505,0.1764705882352941,0.0,0.4112786629123544,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0x001cb265c5606d79035059686ae5f94c6a4c2c2c,0,9520.7,5776.32,78197.58,7,2,0,9,0.262941117,0.36015854,0,0,0.0,0.0,0.0,0.0,0,13.432552000666666,11.21526120301095,0.1111111111111111,0.3333333333333333,0.8349315306915863,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0x001cf9871aeaf2acf72f144b16818b7e417b6dda,0,14106.66,3742.82,540061.9,32,24,0,56,3273.988723,1851.0063760000005,0,0,0.0,0.0,0.0,0.0,0,54.46331220043637,267.90555348808306,0.036363636,0.8,4.919009561925551,4,0.072727273,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
0x001d54f72af6eae0fdd17009c391426754bec5c2,0,757.91,11.08,25802.32,34,3,1,38,1.5051029580000002,1.591844363,0,0,0.0,0.0,0.0,0.0,0,21.775585284351347,1.476059120342069,0.0,0.0,0.067785049,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
0x001e6fbcd020823d3161df44bb5da6c34419eecb,0,3.13,4923.24,280803.43,57,57,0,114,11.6048114,11.6287514,0,0,0.0,0.0,0.0,0.0,0,15.298245614035087,7.255062101624763,0.0,0.2982456140350877,0.4742414447162976,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,0,27681.45,11171.03,842599.05,26,11,0,37,257.307,182.2115661,0,0,0.0,0.0,0.0,0.0,0,36.10311065078378,22.033186956889573,0.2162162162162162,0.081081081,0.6102850020324008,6,0.1621621621621621,6,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
0x001f357ca93307571d8cd93d09ce25a3660429af,0,770.29,3.82,2318.5,3,2,0,5,27.765677,27.767,0,0,0.0,0.0,0.0,0.0,0,25.58638128,6.301655751409554,0.0,0.0,0.2462894491623111,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x001f99982965a3792077893ecadc7be0c61d613c,0,163.78,1.11,329.78,2,2,0,4,100.9989738,101.0,0,0,0.0,0.0,0.0,0.0,0,24.21688575,1.3031118029485182,0.0,0.0,0.053810049,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x00235134f8335d48cf506b25cc376fc84520588b,0,0.0,6324.45,113840.02,0,18,1,19,0.0,101.9235724,0,0,0.0,0.0,0.0,0.0,0,25.196826752421053,8.005190115,0.1052631578947368,0.0,0.3177062807799457,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
0x0023a6a2c8316ccfb083a194aa5668bd75891455,0,725.77,41108.66,292841.02,7,7,0,14,157.09235049999995,58.85070376,0,0,0.0,0.0,0.0,0.0,0,46.68750404,74.18502322508911,0.071428571,0.7142857142857143,1.5889695701004138,4,0.2857142857142857,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0x0029a9b2ea1e45e32fb6344b117388515858d040,0,91.14,64.3,712.88,5,4,0,9,8.747754943,8.75,0,0,0.0,0.0,0.0,0.0,0,23.32305245222222,6.2771077945304015,0.1111111111111111,0.0,0.2691374899314398,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
0x002a68f53b92cef5ee4e7ce015b78408f20942bb,0,2477.34,6928.28,892782.2,8,126,0,134,10.1,43.17587621,0,0,0.0,0.0,0.0,0.0,0,15.832576859973331,30.50685620346572,0.18,0.56,1.9268408720371184,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
0x002ab919205b134d05d0746e22c7f8000523c660,0,0.0,13339.9,226778.27,0,17,1,18,0.0,82.62366163,0,0,0.0,0.0,0.0,0.0,0,26.264808182722224,8.866686811875123,0.1666666666666666,0.0,0.3375881045919039,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
0x002b043689ad84008fffab16afc1955f5a3aebde,0,0.0,0.0,30.65,1,1,0,2,4.99774,4.999,0,0,0.0,0.0,0.0,0.0,0,26.22943515,5.3323839458488465,0.0,0.0,0.2032977040850325,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x0031ebb20a0aaf8c67be012bb3a3483d75269635,0,1797.42,60933.08,330187.83,82,3,0,85,62.341,35.0,0,0,0.0,0.0,0.0,0.0,0,24.844375604658826,10.67861193013848,0.094117647,0.011764706,0.4298200969130423,19,0.2235294117647059,7,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0x003300d3d2c46983b9a55b07b9b2ab47d6228111,0,0.0,0.0,68.87,1,1,0,2,0.54638892,0.54764892,0,0,0.0,0.0,0.0,0.0,0,26.22943515,5.3323839458488465,0.0,0.0,0.2032977040850325,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x0033fd555da940b923a7f6f465cc4d9088724263,0,155.22,112602.93,338429.65,4,3,0,7,8.419634776,4.5371564000000015,0,0,0.0,0.0,0.0,0.0,0,19.479959890571426,8.230992208605384,0.0,0.1428571428571428,0.4225364043274699,2,0.2857142857142857,2,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0x0034f7473531239b1799bc7f14ff97d5303a5a93,0,14626.26,6594.93,955278.0,59,14,0,73,2540.083853,2351.714972,0,0,0.0,0.0,0.0,0.0,0,47.00628627222078,228.8281344949445,0.1038961038961039,0.8311688311688312,4.868032610995152,1,0.012987013,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
0x0036ed1e6299bb586ac70ebdfa336f06714a9556,0,0.0,5498.63,291427.53,0,53,1,54,0.0,26.75944516,0,0,0.0,0.0,0.0,0.0,0,23.704008573907405,6.646411387370704,0.074074074,0.0,0.2803918740852488,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0x0038ab9bf479faa2997522b3cf9492153ea6b33f,0,3.33,51068.75,561789.58,10,11,0,21,56.21491815,56.22253457,0,0,0.0,0.0,0.0,0.0,0,33.401592808480004,21.95931510308543,0.16,0.08,0.6574331717950407,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,0,1128.56,0.0,2257.12,2,1,0,3,0.0,1.74798122,0,0,0.0,0.0,0.0,0.0,0,23.0,2.6457513110645907,0.0,0.0,0.1150326656984604,1,0.3333333333333333,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0x003c5ebfa5cdb3d73bad42bb07db823f6c77a236,0,2152.95,680.22,22889.93,10,2,0,12,0.110734264,0.15,0,0,0.0,0.0,0.0,0.0,0,22.0,2.088931871468374,0.0,0.0,0.094951449,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
0x003d8b1e6723960d60367a719fe65e08643a2a80,0,0.0,648.26,449889.15,0,694,1,695,0.0,1123.399095,0,0,0.0,0.0,0.0,0.0,0,24.186245257305035,3.0858224955953646,0.008633094,0.0,0.1275858432248116,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,0,45.91,58.88,450106.65,5970,2989,0,8959,225938.9558,223047.6014,0,0,0.0,0.0,0.0,0.0,0,28.48126929136243,6.243582557874022,0.001562674,0.000223239,0.2192171456265653,90,0.010045764,55,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3025.0,0.0,0.0,0.0
0x004534ebd59b0b094da701dbfd952ef605470128,0,0.0,0.0,4.87,1,1,0,2,0.0,0.003,0,0,0.0,0.0,0.0,0.0,0,22.35814655,7.281913568033998,0.0,0.0,0.3256939724608443,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,0,1067.84,128.81,636162.82,68,4375,0,4443,4618.790832,4618.823828000001,0,0,0.0,0.0,0.0,0.0,0,20.29894882624938,3.2226148429051236,0.010803511,0.011253657,0.1587577204361356,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,0,1051.87,85496.6,345142.02,3,4,0,7,11.050999999999998,5.583810700000001,0,0,0.0,0.0,0.0,0.0,0,26.109445811857142,13.162582047922967,0.1428571428571428,0.1428571428571428,0.5041310391178588,1,0.1428571428571428,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0x00472c1e4275230354dbe5007a5976053f12610a,0,2.12,0.92,21206.93,9996,4,3,10003,0.0,44.0,0,0,0.0,0.0,0.0,0.0,0,21.2346615,9.077222002007296,0.013,0.0001,0.4274719425141067,2,0.0002,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
0x004853f00fab90ab60cf1e609b0b61494b90164c,0,17441.04,1245.91,160707.1,9,3,0,12,56.03738689,56.99,0,0,0.0,0.0,0.0,0.0,0,30.601252204083337,9.257900296479852,0.083333333,0.0,0.3025333811419817,2,0.1666666666666666,2,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0x004e1c2a12ac1d0b70907c702892f397a4769bfb,0,45561.42,26284.49,802574.4,13,8,0,21,264.26,175.4,0,0,0.0,0.0,0.0,0.0,0,58.28372766847619,102.73094174505792,0.047619048,0.4761904761904761,1.762600743888621,3,0.1428571428571428,2,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
0x004f1cea50b057ad8b6f445e128edbdc9b48902b,0,379.78,56424.63,339687.12,3,6,0,9,13.5,5.333648999999999,0,0,0.0,0.0,0.0,0.0,0,13.730214712933332,14.560668947372353,0.5333333333333333,0.4666666666666667,1.060483703409005,3,0.2,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0x005073a74dd37889bebbf9de7550dea7666f625b,0,1478.05,51541.26,355017.02,33,6,0,39,76.16345259,58.81983438,0,0,0.0,0.0,0.0,0.0,0,27.764459764055555,10.991128033792448,0.1111111111111111,0.055555556,0.3958704086877926,13,0.3611111111111111,5,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
0x005457078e3c355023433874edffc8b254881334,0,164.22,0.0,328.45,2,1,0,3,100.9989738,101.0,0,0,0.0,0.0,0.0,0.0,0,24.289181003666663,1.5861245022522614,0.0,0.0,0.065301687,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0x00595d5ec3bb583428a0304b2940a70d7f553aef,0,1790.44,450.56,13445.97,6,6,0,12,15.68959511,15.69308421,0,0,0.0,0.0,0.0,0.0,0,26.43232372583333,9.407787208,0.083333333,0.0,0.3559197937362104,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
0x0059782ecd69fb5413c5e1a98b40c28dff061162,0,803.95,112925.21,340383.53,2,3,0,5,13.911496,7.0,0,0,0.0,0.0,0.0,0.0,0,18.2,9.654014708917735,0.0,0.2,0.5304403686218537,1,0.2,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,0,18649.44,15420.31,266825.07,11,4,0,15,8.351405032999999,6.695,0,0,0.0,0.0,0.0,0.0,0,26.12294067,8.709651031042322,0.1333333333333333,0.0,0.3334100528778169,2,0.1333333333333333,2,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,0,65.85,32.24,204236.48,2217,1807,0,4024,33867.26324,33856.6182,0,0,0.0,0.0,0.0,0.0,0,34.83275347912525,9.801464975085626,0.028578529,0.000248509,0.2813864537283708,6,0.001491054,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2647.0,0.0,0.0,0.0
0x005d3bffd33b1a012279d25d30f75133584404db,0,181.7,56819.72,286279.03,12,5,0,17,714.2,315.425,0,0,0.0,0.0,0.0,0.0,0,25.682675919764705,11.243772541914614,0.1176470588235294,0.058823529,0.43779599,2,0.1176470588235294,2,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0x006482de8230af0f8e2918a439c7826fe8642a43,0,23359.72,27049.27,1169229.5,35,13,0,48,3001.833603,2372.483424,0,0,0.0,0.0,0.0,0.0,0,32.66341381235714,43.88471523865667,0.2678571428571428,0.4285714285714285,1.343543436419812,3,0.053571429,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
0x006743c8992ca6d54c23fa3a745a4781b3817f0c,0,20827.93,0.0,186707.1,8,1,0,9,101.5119377,10.0,0,0,0.0,0.0,0.0,0.0,0,25.636313054888888,6.880901252032503,0.0,0.0,0.2684044791191338,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0x0067e167caf808eaa6f642d9232e54ff7bb47c07,0,4183.18,1470.01,962956.75,181,140,0,321,595.1846,561.0865,0,0,0.0,0.0,0.0,0.0,0,23.908353814805555,20.89993291705641,0.1759259259259259,0.2592592592592592,0.8741686307199394,9,0.027777778,3,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0
0x006aaaff2ff3358bc8453febaba4e236b028df80,0,1969.46,288.59,97419.95,48,10,0,58,324.407,258.1039104,0,0,0.0,0.0,0.0,0.0,0,26.715100435465516,7.852047570141199,0.086206897,0.0,0.2939179506028451,11,0.1896551724137931,5,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
0x007174732705604bbbf77038332dc52fd5a5000c,0,76.32,74.96,754216.92,3424,6576,2,10002,148146.1047,144402.6609,0,0,0.0,0.0,0.0,0.0,0,22.43923046,6.638818170856522,0.0586,0.0016,0.295857658,3,0.0003,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5941.0,2.0,0.0,0.0
0x0071763e7e796eeb4c32f083aa4a3ac2f33bf5c0,0,26.01,82.8,652.87,6,6,0,12,6.283183805,6.28594603,0,0,0.0,0.0,0.0,0.0,0,23.41161658,4.550589004537333,0.083333333,0.0,0.1943731219514926,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0x0071c78d72b78818b0d507c114674a7ce6bc4f18,0,8174.66,3.43,24534.25,3,3,0,6,0.439653612,0.441,0,0,0.0,0.0,0.0,0.0,0,21.18561817033333,0.9368161688055908,0.0,0.0,0.04421944,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x00733965a4f189034c4cd0e7d38c877a34ba0b63,0,628.48,672.28,4486.98,5,2,0,7,6.86172829,6.86709731,0,0,0.0,0.0,0.0,0.0,0,29.73371428542857,18.275968462341297,0.1428571428571428,0.0,0.6146547413115386,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
0x00760b09a77e7a4f6ea7e7fdf17f93f8d898c870,0,0.0,0.0,2.5,1,1,0,2,0.85382138,0.85487138,0,0,0.0,0.0,0.0,0.0,0,37.0,18.384776310850235,0.0,0.0,0.4968858462391955,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x00761aebf8420f0325f7d3a9161a8bb6a96e550b,0,0.0,0.0,8873.97,1,1,0,2,0.13456893,0.13498893,0,0,0.0,0.0,0.0,0.0,0,26.60069958,9.334798867186391,0.0,0.0,0.3509230589636392,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x007a010f85605b7f9ecd0e26a7cfa3987bb3e43f,0,22.94,14237.49,242427.3,17,17,0,34,0.80657981,0.86455069,0,0,0.0,0.0,0.0,0.0,0,56.911764705882355,42.64040455,0.3529411764705882,0.3235294117647059,0.7492370824569076,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x007bb0518b03f1a8c00e9bb545640800d1e91444,0,7750.02,59605.36,531093.05,7,8,0,15,7.093,49.1567487,0,0,0.0,0.0,0.0,0.0,0,51.51422344,53.61548212,0.2068965517241379,0.4827586206896552,1.0407898739943484,5,0.1724137931034483,5,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0,621.07,5012.75,93911.63,14,17,4,35,675.82347,675.9137486000002,0,0,0.0,0.0,0.0,0.0,0,22.704890303032258,7.649080908243176,0.064516129,0.0,0.3368913395376164,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0
0x0080214c803a073c18aaadd7b99cfd08c3945b09,0,13243.1,38530.77,414518.23,9,8,0,17,3.789138127,2.16637118,0,0,0.0,0.0,0.0,0.0,0,27.23157231090909,18.29409948355277,0.1818181818181818,0.1818181818181818,0.6717974002633726,1,0.090909091,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
0x0080359f18daa3f2906e347a589ffd49c07c6258,0,5815.7,845.41,1040169.4,30,1024,0,1054,200.883777,250.89045640000003,0,0,0.0,0.0,0.0,0.0,0,20.11648991449807,19.80788513011118,0.076369247,0.4551298534327591,0.9846591137072837,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
0x0083704ad2f3e9f58e71593459462875255b7bd2,0,1905.13,728.9,240610.1,124,6,0,130,80.28824888,76.61817535,0,0,0.0,0.0,0.0,0.0,0,24.88570639864748,13.277526875962703,0.1366906474820144,0.035971223,0.5335402846625373,28,0.2014388489208633,6,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
0x00893fa05c19ce3895d0d5577db0ddb02d5cbd47,0,24.63,3319.39,10032.05,3,3,0,6,15.84309204,15.845,0,0,0.0,0.0,0.0,0.0,0,25.718997449333333,11.858602838650151,0.1666666666666666,0.0,0.4610834019487622,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x0095e1a57555e5d5e9ee041bc5953d1c37729cdc,0,59.56,24076.63,120621.38,4,5,0,9,0.86268094,0.86753194,0,0,0.0,0.0,0.0,0.0,0,23.82876336711111,14.756825466881017,0.1111111111111111,0.3333333333333333,0.6192862482846531,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0x009663d80363fa044763ef5331280081c95c94be,0,0.0,0.0,28803.42,1,1,0,2,11.999559,12.0,0,0,0.0,0.0,0.0,0.0,0,21.5,0.7071067811865476,0.0,0.0,0.032888687,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0x009f93582e0c195ac9d3f2b9c1f31cf44e2e9561,0,56814.86,62086.18,294616.95,3,2,0,5,39.90586873,20.0,0,0,0.0,0.0,0.0,0.0,0,19.86246332,5.676197221915098,0.0,0.0,0.2857750889264911,1,0.2,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0x00a4862d4407296f92005eff2f51fa5cbb3c6077,0,2.23,0.0,8.92,4,2,0,6,2000.998113,2001.0,0,0,0.0,0.0,0.0,0.0,0,22.4588703,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
